gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|00001,0,0,0,0,0,0,0,0,0,0,0,0
1104|00002,18,34,38,150,161,166,128,157,210,2,9,11
1104|00003,113,131,160,155,167,157,82,95,113,12,24,16
1104|00004,6,3,5,84,73,72,84,97,201,1,9,3
1104|00005,103,151,178,359,457,373,326,312,284,18,57,31
1104|00006,215,307,265,687,780,754,686,656,1105,20,71,23
1104|00007,266,311,347,427,565,553,407,424,436,18,51,16
1104|00008,92,116,123,57,61,54,51,51,104,2,2,5
1104|00009,62,108,99,318,346,408,160,193,266,5,16,6
1104|00010,35,37,53,168,189,162,155,136,240,4,20,13
1104|00011,389,382,513,1157,1344,1271,546,517,831,31,75,25
1104|00012,1435,1762,2039,2714,3567,3327,1957,1919,1830,134,319,134
1104|00013,24,40,34,285,273,277,168,148,231,4,16,8
1104|00014,137,160,190,511,664,630,225,281,274,17,64,35
1104|00015,84,88,86,88,73,82,165,138,365,7,14,8
1104|00016,112,129,128,173,247,246,168,215,216,7,22,5
1104|00017,291,408,393,16,12,21,32,40,57,88,140,74
1104|00018,123,154,180,258,264,234,296,250,387,12,33,18
1104|00019,34,20,40,168,146,184,199,184,328,2,7,3
1104|00020,64,42,65,268,337,299,294,268,408,6,24,17
1104|00021,106,129,118,227,277,270,199,209,272,12,36,14
1104|00022,337,401,505,583,711,592,630,598,987,20,45,33
1104|00023,344,437,535,1692,1949,1716,1813,1523,2918,20,79,45
1104|00024,70,103,122,296,273,293,177,155,357,7,24,14
1104|00025,9,11,10,46,43,44,27,35,32,0,4,2
1104|00026,12,18,27,131,174,135,112,90,124,4,15,6
1104|00027,171,256,234,598,662,670,546,531,1038,17,37,16
1104|00028,67,82,85,445,503,494,846,808,1592,8,19,7
1104|00029,10,20,19,110,133,120,242,253,500,6,6,2
1104|00030,709,872,1063,156,205,220,84,101,120,5,28,13
1104|00031,119,160,145,472,424,464,395,424,749,15,25,14
1104|00032,1606,1983,1943,225,331,310,154,145,192,18,64,20
1104|00033,55,60,67,108,143,128,56,80,64,10,18,11
1104|00034,83,103,111,146,172,188,98,108,137,9,19,5
1104|00035,0,0,0,1,1,3,1,0,2,0,0,0
1104|00036,42,35,70,218,274,248,324,382,286,18,51,14
1104|00037,8,17,18,2,3,3,4,4,7,1,1,0
1104|00038,0,0,0,4,7,15,18,18,41,0,1,1
1104|00039,2,1,3,38,38,37,46,60,75,1,2,4
1104|00040,1,4,4,489,339,296,268,254,352,1,2,6
1104|00041,21,22,20,237,226,281,64,76,129,6,10,7
1104|00042,0,0,0,258,249,204,0,0,0,50,84,97
1104|00043,0,0,0,87,49,82,148,137,328,7,3,2
1104|00044,7,12,7,311,408,353,31,71,62,10,20,21
1104|00045,0,0,2,30,45,44,28,42,65,1,10,3
1104|00046,0,0,0,10,6,10,17,16,21,0,3,0
1104|00047,0,0,0,3,1,3,0,2,3,4,1,2
1104|00048,2,4,2,75,65,110,110,119,369,0,5,1
1104|00049,0,0,0,2,0,0,1,0,0,0,0,0
1104|00050,1,0,0,2,2,0,0,2,3,0,1,1
1104|00051,0,0,0,4,2,1,1,9,13,1,0,1
1104|00052,0,0,0,11,6,19,19,35,54,0,1,1
1104|00053,3,5,2,28,32,37,10,12,9,0,2,0
1104|00054,0,0,0,21,10,8,9,9,21,1,3,0
1104|00055,44,51,45,0,0,0,0,0,0,0,0,0
1104|00056,0,0,0,1,0,2,14,12,18,0,0,0
1104|00057,10,13,15,89,92,82,2,1,1,0,11,0
1104|00058,18,20,23,13,27,18,11,23,17,25,110,64
1104|00059,0,0,0,0,0,0,5,3,10,0,0,0
1104|00060,3,2,0,20,9,19,4,1,6,0,0,1
1104|00061,1,0,0,0,0,0,12,19,24,0,0,0
1104|00062,0,0,0,1,0,1,23,31,60,0,0,0
1104|00063,1650,2120,2396,96,107,109,65,45,46,27,34,21
1104|00064,33,32,25,1,1,1,8,11,10,1,2,3
1104|00065,0,0,0,1,4,3,2,0,3,0,0,1
1104|00066,17,20,26,44,43,51,137,120,221,40,45,19
1104|00067,10,6,11,52,57,57,39,58,95,16,13,39
1104|00068,6,11,14,3,6,4,7,9,19,2,4,0
1104|00069,0,0,0,0,0,0,0,0,1,0,0,0
1104|00070,2,5,2,1,4,1,9,4,10,0,0,1
1104|00071,42,54,64,84,144,131,71,88,69,3,12,6
1104|00072,158,216,236,163,150,184,2,1,6,2,8,2
1104|00073,0,0,0,0,0,0,0,0,0,0,6,0
1104|00074,0,0,0,2,1,1,0,2,0,0,0,0
1104|00075,0,0,0,0,0,0,9,12,30,1,0,0
1104|00076,9,11,11,2,0,1,9,12,13,0,0,1
1104|00077,14,7,7,25,43,36,17,23,17,1,4,0
1104|00078,2,1,4,3,2,3,19,35,93,5,3,2
1104|00079,6,3,9,15,12,15,36,15,39,1,2,0
1104|00080,0,0,0,0,0,0,0,0,0,0,0,0
1104|00081,53,141,128,3,5,1,0,0,0,0,0,0
1104|00082,0,0,0,0,0,0,0,0,0,0,0,0
1104|00083,0,0,0,3,0,1,8,6,13,0,0,0
1104|00084,0,0,0,0,0,0,0,0,0,0,0,0
1104|00085,0,0,0,0,0,0,0,0,0,0,0,0
1104|00086,0,0,0,0,0,2,3,4,3,0,0,0
1104|00087,12,21,31,11,16,9,3,1,3,3,14,2
1104|00088,0,0,0,2,0,0,1,13,31,3,14,1
1104|00089,0,0,0,0,0,1,0,0,0,0,3,0
1104|00090,49,71,53,318,288,234,1095,975,1333,9,16,5
1104|00091,0,0,0,11,3,4,3,0,0,57,109,74
1104|00092,0,0,0,87,25,37,4,2,6,1,3,1
1104|00093,226,326,286,371,476,406,135,129,198,6,14,14
1104|00094,4,2,4,9,7,6,3,4,6,1,0,0
1104|00095,4,5,3,17,16,22,48,53,74,44,49,62
1104|00096,0,0,0,0,0,0,0,0,0,0,0,0
1104|00097,41,64,73,4,4,9,2,0,4,1,1,0
1104|00098,17,19,15,16,15,13,2,1,4,1,4,2
1104|00099,2,0,2,2,2,5,3,3,5,1,0,2
1104|00100,3,2,0,0,0,0,1,1,3,0,0,0
1104|00101,51,75,58,132,156,135,70,84,83,2,8,4
1104|00102,0,3,0,0,1,1,17,14,48,1,6,5
1104|00103,6,6,13,6,7,7,41,58,156,0,7,1
1104|00104,182,235,298,305,541,479,190,240,142,18,33,30
1104|00105,1,5,4,0,0,1,2,1,0,0,0,0
1104|00106,40,44,58,20,18,14,0,0,3,1,3,2
1104|00107,76,99,112,133,203,202,148,139,208,3,8,11
1104|00108,229,328,362,128,201,219,110,145,138,9,21,15
1104|00109,66,89,100,411,470,575,63,76,78,16,78,49
1104|00110,130,142,158,194,187,219,147,141,196,8,18,11
1104|00111,319,466,552,407,491,514,224,259,286,27,55,33
1104|00112,43,81,70,460,438,465,359,370,570,9,42,24
1104|00113,43,76,59,509,560,461,655,545,914,5,39,9
1104|00114,21,27,37,229,219,198,163,173,211,7,14,11
1104|00115,195,219,258,1452,1107,1418,1096,1143,2877,22,20,6
1104|00116,145,154,192,242,282,255,135,163,205,4,24,10
1104|00117,211,215,256,532,611,530,318,355,507,24,52,20
1104|00118,207,245,260,447,450,452,334,326,751,15,45,18
1104|00119,61,85,99,231,234,211,176,184,257,7,13,9
1104|00120,70,83,86,90,114,105,52,69,69,5,15,4
1104|00121,1036,1188,1404,204,307,333,157,166,146,8,30,21
1104|00122,35,45,50,91,84,100,58,59,80,4,8,3
1104|00123,535,646,667,576,811,656,328,345,369,37,83,41
1104|00124,167,225,270,359,367,347,296,247,427,10,34,18
1104|00125,313,468,511,674,746,822,513,529,629,27,54,16
1104|00126,498,675,822,598,772,780,473,587,585,34,96,60
1104|00127,60,72,57,603,647,592,343,324,558,11,12,10
1104|00128,946,1149,1285,6567,8601,7210,7148,7593,7544,151,518,191
1104|00129,2335,2859,3214,1409,1669,1556,991,978,1152,84,173,88
1104|00130,16,13,30,194,215,163,128,134,161,6,10,12
1104|00131,208,284,261,557,509,518,550,483,733,6,38,11
1104|00132,714,863,997,1229,1228,1571,1245,1395,1842,20,75,44
1104|00133,93,113,104,420,510,505,331,380,445,13,37,16
1104|00134,56,55,93,219,246,254,176,138,174,10,11,8
1104|00135,3,4,10,168,187,171,127,103,167,5,1,5
1104|00136,2,5,2,3,1,1,1,1,1,1,4,2
1104|00137,32,33,46,20,29,36,7,11,12,4,10,1
1104|00138,63,95,76,290,310,302,382,369,604,3,9,3
1104|00139,157,178,189,246,271,278,85,87,141,6,13,6
1104|00140,26,35,46,60,102,108,57,73,69,4,14,8
1104|00141,28,25,41,96,117,121,68,72,62,1,5,3
1104|00142,446,586,636,189,275,257,84,137,137,14,25,21
1104|00143,50,70,95,527,666,683,5,3,10,4,12,11
1104|00144,19,11,24,3,7,3,1,1,4,4,2,1
1104|00145,213,261,281,85,65,101,27,47,53,1,13,2
1104|00146,3,0,0,140,182,180,83,80,125,4,11,6
1104|00147,42,58,54,571,696,646,778,835,879,7,33,15
1104|00148,122,160,176,155,188,190,78,116,98,2,12,4
1104|00149,25,38,49,98,89,99,61,63,146,1,7,1
1104|00150,428,507,536,369,478,500,147,170,165,95,208,124
1104|00151,210,285,290,127,166,187,68,122,112,0,16,6
1104|00152,69,127,130,231,316,312,220,257,261,10,19,10
1104|00153,129,193,212,96,129,155,39,49,52,10,16,21
