gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|00002,54.7631,1.6848,0.2311,7.2916,3.064e-13,1.26e-12,phosphotyrosyl phosphate activator protein
1104|00003,78.8102,-0.4857,0.1445,-3.362,0.0007738,0.001536,rna polymerase ii transcription factor siii subunit a
1104|00004,31.3633,3.298,0.5079,6.4935,8.389e-11,2.998e-10,hypothetical protein CGGC5_4041
1104|00005,157.7592,0.7376,0.1715,4.3009,1.701e-05,4.046e-05,gcn5-related n-acetyltransferase
1104|00006,284.8139,0.7557,0.1919,3.9385,8.198e-05,0.0001811,cbf mak21 family protein
1104|00007,203.8652,-0.002,0.1165,-0.0175,0.9861,0.9882,ubiquitin family protein
1104|00008,39.2415,-1.6778,0.265,-6.3315,2.428e-10,8.447e-10,dynamin central region
1104|00009,92.6588,1.2656,0.1855,6.8235,8.882e-12,3.358e-11,hypothetical protein CGGC5_5673
1104|00010,66.0702,1.3268,0.2379,5.5784,2.427e-08,7.356e-08,homeobox domain-containing protein
1104|00011,351.9108,0.8153,0.166,4.9128,8.981e-07,2.404e-06,26s proteasome non-atpase regulatory subunit 9
1104|00012,1174.2504,0.1372,0.1312,1.0459,0.2956,0.3641,adenylylsulfate kinase
1104|00013,72.3282,2.365,0.2307,10.2519,1.16e-24,7.825e-24,gtp-binding nuclear protein gsp1 ran
1104|00014,178.4269,1.1516,0.1164,9.8949,4.382e-23,2.785e-22,thioesterase superfamily protein
1104|00015,68.1897,-0.8317,0.3271,-2.5425,0.01101,0.01844,atp-nad kinase
1104|00016,86.9205,0.0997,0.1619,0.616,0.5379,0.6102,hypothetical protein CGGC5_5679
1104|00017,224.5573,-5.2133,0.2922,-17.8389,3.528e-71,6.909e-70,dna mismatch repair protein
1104|00018,125.2434,0.0013,0.1726,0.0076,0.9939,0.9949,lim domain-containing protein
1104|00019,60.842,1.6683,0.2955,5.6456,1.646e-08,5.06e-08,trehalase
1104|00020,107.6354,1.6477,0.2232,7.3833,1.545e-13,6.457e-13,transcription initiation factor iif
1104|00021,106.8558,0.3869,0.1478,2.6175,0.008857,0.01509,upf0655 protein ycr015c
1104|00022,285.8378,-0.1274,0.1634,-0.7794,0.4357,0.5101,prolyl-trna synthetase
1104|00023,612.5797,1.3014,0.1945,6.6901,2.23e-11,8.247e-11,nuclear pore complex protein nup107
