gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|00002,54.7631,2.178,0.2308,9.4358,3.88e-21,1.924e-20,phosphotyrosyl phosphate activator protein
1104|00003,78.8102,-0.7615,0.1541,-4.9424,7.718e-07,1.824e-06,rna polymerase ii transcription factor siii subunit a
1104|00004,31.3633,4.4427,0.5045,8.8059,1.298e-18,5.863e-18,hypothetical protein CGGC5_4041
1104|00005,157.7592,0.8407,0.1729,4.862,1.162e-06,2.711e-06,gcn5-related n-acetyltransferase
1104|00006,284.8139,1.3329,0.1917,6.9541,3.549e-12,1.186e-11,cbf mak21 family protein
1104|00007,203.8652,0.1762,0.1177,1.4968,0.1344,0.1705,ubiquitin family protein
1104|00008,39.2415,-0.9897,0.2616,-3.7834,0.0001547,0.0003004,dynamin central region
1104|00009,92.6588,0.9148,0.1894,4.8309,1.359e-06,3.16e-06,hypothetical protein CGGC5_5673
1104|00010,66.0702,1.7985,0.2378,7.5642,3.902e-14,1.444e-13,homeobox domain-containing protein
1104|00011,351.9108,0.2629,0.1676,1.5686,0.1167,0.1503,26s proteasome non-atpase regulatory subunit 9
1104|00012,1174.2504,-0.1415,0.1317,-1.0739,0.2829,0.3334,adenylylsulfate kinase
1104|00013,72.3282,2.1954,0.2336,9.3981,5.554e-21,2.739e-20,gtp-binding nuclear protein gsp1 ran
1104|00014,178.4269,0.3988,0.1227,3.2494,0.001156,0.002029,thioesterase superfamily protein
1104|00015,68.1897,1.0353,0.3189,3.2463,0.001169,0.00205,atp-nad kinase
1104|00016,86.9205,0.4064,0.163,2.4938,0.01264,0.01935,hypothetical protein CGGC5_5679
1104|00017,224.5573,-3.3764,0.2434,-13.8697,9.675e-44,9.31e-43,dna mismatch repair protein
1104|00018,125.2434,0.7486,0.1711,4.3748,1.216e-05,2.618e-05,lim domain-containing protein
1104|00019,60.842,2.6124,0.2935,8.9017,5.499e-19,2.52e-18,trehalase
1104|00020,107.6354,2.1986,0.2228,9.8657,5.861e-23,3.113e-22,transcription initiation factor iif
1104|00021,106.8558,0.6514,0.1491,4.3689,1.249e-05,2.687e-05,upf0655 protein ycr015c
1104|00022,285.8378,0.5443,0.1629,3.3403,0.0008369,0.001492,prolyl-trna synthetase
1104|00023,612.5797,1.9599,0.1944,10.0824,6.611e-24,3.63e-23,nuclear pore complex protein nup107
1104|00024,98.5724,0.9301,0.267,3.4831,0.0004956,0.0009078,spfh domain band 7 family protein
1104|00025,13.0459,1.3637,0.372,3.6654,0.0002469,0.0004689,2-oxoacid dehydrogenase acyltransferase
1104|00026,44.6319,2.2519,0.2757,8.1692,3.106e-16,1.269e-15,beta-eliminating lyase
1104|00027,234.7501,1.3717,0.216,6.3513,2.135e-10,6.397e-10,pwi domain-containing protein
1104|00028,228.1257,3.4833,0.2284,15.2531,1.57e-52,1.83e-51,exosome complex subunit rrp46
1104|00029,68.5114,4.0446,0.3329,12.1485,5.84e-34,4.358e-33,killer toxin subunits alpha beta
1104|00030,203.5272,-3.3958,0.1301,-26.0931,4.363e-150,2.213e-148,v-atpase subunit c
1104|00031,170.7358,1.5739,0.2224,7.0779,1.463e-12,5.004e-12,byr1-binding protein bob1
1104|00032,414.6126,-3.7871,0.153,-24.7583,2.524e-135,1.047e-133,hypothetical protein CGGC5_4040
1104|00033,52.4039,-0.1484,0.2063,-0.719,0.4721,0.5282,cytochrome c oxidase assembly protein cox19
