term_id,term_name,gene
FS001,Major facilitator superfamily transporter,1104|00060
FS001,Major facilitator superfamily transporter,1104|00062
FS001,Major facilitator superfamily transporter,1104|00066
FS001,Major facilitator superfamily transporter,1104|00071
FS001,Major facilitator superfamily transporter,1104|00081
FS001,Major facilitator superfamily transporter,1104|00092
FS001,Major facilitator superfamily transporter,1104|00154
FS001,Major facilitator superfamily transporter,1104|00191
FS001,Major facilitator superfamily transporter,1104|00245
FS001,Major facilitator superfamily transporter,1104|00315
FS001,Major facilitator superfamily transporter,1104|00391
FS001,Major facilitator superfamily transporter,1104|00422
FS001,Major facilitator superfamily transporter,1104|00464
FS001,Major facilitator superfamily transporter,1104|00492
FS001,Major facilitator superfamily transporter,1104|00511
FS001,Major facilitator superfamily transporter,1104|00568
FS001,Major facilitator superfamily transporter,1104|00609
FS001,Major facilitator superfamily transporter,1104|00618
FS001,Major facilitator superfamily transporter,1104|00709
FS001,Major facilitator superfamily transporter,1104|00728
FS001,Major facilitator superfamily transporter,1104|00731
FS001,Major facilitator superfamily transporter,1104|00821
FS001,Major facilitator superfamily transporter,1104|00909
FS001,Major facilitator superfamily transporter,1104|01017
FS001,Major facilitator superfamily transporter,1104|01023
FS001,Major facilitator superfamily transporter,1104|01044
FS001,Major facilitator superfamily transporter,1104|01070
FS001,Major facilitator superfamily transporter,1104|01130
FS001,Major facilitator superfamily transporter,1104|01162
FS001,Major facilitator superfamily transporter,1104|01178
FS001,Major facilitator superfamily transporter,1104|01294
FS001,Major facilitator superfamily transporter,1104|01362
FS001,Major facilitator superfamily transporter,1104|01434
FS001,Major facilitator superfamily transporter,1104|01460
FS001,Major facilitator superfamily transporter,1104|01504
FS001,Major facilitator superfamily transporter,1104|01544
FS001,Major facilitator superfamily transporter,1104|01598
FS001,Major facilitator superfamily transporter,1104|01720
FS001,Major facilitator superfamily transporter,1104|01749
FS001,Major facilitator superfamily transporter,1104|01757
FS001,Major facilitator superfamily transporter,1104|01803
FS001,Major facilitator superfamily transporter,1104|01847
FS001,Major facilitator superfamily transporter,1104|01875
FS001,Major facilitator superfamily transporter,1104|01931
FS001,Major facilitator superfamily transporter,1104|01998
FS001,Major facilitator superfamily transporter,1104|02008
FS001,Major facilitator superfamily transporter,1104|02019
FS001,Major facilitator superfamily transporter,1104|02068
FS001,Major facilitator superfamily transporter,1104|02073
FS001,Major facilitator superfamily transporter,1104|02075
FS001,Major facilitator superfamily transporter,1104|02086
FS001,Major facilitator superfamily transporter,1104|02126
FS001,Major facilitator superfamily transporter,1104|02154
FS001,Major facilitator superfamily transporter,1104|02227
FS001,Major facilitator superfamily transporter,1104|02229
FS001,Major facilitator superfamily transporter,1104|02272
FS001,Major facilitator superfamily transporter,1104|02292
FS001,Major facilitator superfamily transporter,1104|02296
FS001,Major facilitator superfamily transporter,1104|02326
FS001,Major facilitator superfamily transporter,1104|02330
FS001,Major facilitator superfamily transporter,1104|02336
FS001,Major facilitator superfamily transporter,1104|02346
FS001,Major facilitator superfamily transporter,1104|02351
FS001,Major facilitator superfamily transporter,1104|02373
FS001,Major facilitator superfamily transporter,1104|02423
FS001,Major facilitator superfamily transporter,1104|02424
FS001,Major facilitator superfamily transporter,1104|02469
FS001,Major facilitator superfamily transporter,1104|02539
FS001,Major facilitator superfamily transporter,1104|02615
FS001,Major facilitator superfamily transporter,1104|02640
FS001,Major facilitator superfamily transporter,1104|02703
FS001,Major facilitator superfamily transporter,1104|02731
FS001,Major facilitator superfamily transporter,1104|02790
FS001,Major facilitator superfamily transporter,1104|02800
FS001,Major facilitator superfamily transporter,1104|02854
FS001,Major facilitator superfamily transporter,1104|02914
FS001,Major facilitator superfamily transporter,1104|02955
FS001,Major facilitator superfamily transporter,1104|03148
FS001,Major facilitator superfamily transporter,1104|03164
FS001,Major facilitator superfamily transporter,1104|03174
FS001,Major facilitator superfamily transporter,1104|03186
FS001,Major facilitator superfamily transporter,1104|03187
FS001,Major facilitator superfamily transporter,1104|03193
FS001,Major facilitator superfamily transporter,1104|03228
FS001,Major facilitator superfamily transporter,1104|03237
FS001,Major facilitator superfamily transporter,1104|03386
FS001,Major facilitator superfamily transporter,1104|03478
FS001,Major facilitator superfamily transporter,1104|03510
FS001,Major facilitator superfamily transporter,1104|03536
FS001,Major facilitator superfamily transporter,1104|03700
FS001,Major facilitator superfamily transporter,1104|03802
FS001,Major facilitator superfamily transporter,1104|03854
FS001,Major facilitator superfamily transporter,1104|03877
FS001,Major facilitator superfamily transporter,1104|03896
FS001,Major facilitator superfamily transporter,1104|03898
FS001,Major facilitator superfamily transporter,1104|03900
FS001,Major facilitator superfamily transporter,1104|03921
FS001,Major facilitator superfamily transporter,1104|03930
FS001,Major facilitator superfamily transporter,1104|04015
FS001,Major facilitator superfamily transporter,1104|04025
FS001,Major facilitator superfamily transporter,1104|04065
FS001,Major facilitator superfamily transporter,1104|04106
