sample,mate,cycle,mean_q,q25,median_q,q75,n_reads
APP1,1,1,31.508,32.0,32.0,32.0,100000
APP1,1,2,31.597,32.0,32.0,32.0,100000
APP1,1,3,35.923,37.0,37.0,37.0,100000
APP1,1,4,36.283,37.0,37.0,37.0,100000
APP1,1,5,36.414,37.0,37.0,37.0,100000
APP1,1,6,40.533,42.0,42.0,42.0,100000
APP1,1,7,40.78,42.0,42.0,42.0,100000
APP1,1,8,40.947,42.0,42.0,42.0,100000
APP1,1,9,41.015,42.0,42.0,42.0,100000
APP1,1,10,40.847,42.0,42.0,42.0,100000
APP1,1,11,41.0,42.0,42.0,42.0,100000
APP1,1,12,40.981,42.0,42.0,42.0,100000
APP1,1,13,40.944,42.0,42.0,42.0,100000
APP1,1,14,40.954,42.0,42.0,42.0,100000
APP1,1,15,40.836,42.0,42.0,42.0,100000
APP1,1,16,40.954,42.0,42.0,42.0,100000
APP1,1,17,40.988,42.0,42.0,42.0,100000
APP1,1,18,40.989,42.0,42.0,42.0,100000
APP1,1,19,40.947,42.0,42.0,42.0,100000
APP1,1,20,40.878,42.0,42.0,42.0,100000
APP1,1,21,40.888,42.0,42.0,42.0,100000
APP1,1,22,40.874,42.0,42.0,42.0,100000
APP1,1,23,40.884,42.0,42.0,42.0,100000
APP1,1,24,40.811,42.0,42.0,42.0,100000
APP1,1,25,40.854,42.0,42.0,42.0,100000
APP1,1,26,40.74,42.0,42.0,42.0,100000
APP1,1,27,40.729,42.0,42.0,42.0,100000
APP1,1,28,40.661,42.0,42.0,42.0,100000
APP1,1,29,40.558,42.0,42.0,42.0,100000
APP1,1,30,40.615,42.0,42.0,42.0,100000
APP1,1,31,40.598,42.0,42.0,42.0,100000
APP1,1,32,40.661,42.0,42.0,42.0,100000
APP1,1,33,40.6,42.0,42.0,42.0,100000
APP1,1,34,40.557,42.0,42.0,42.0,100000
APP1,1,35,40.597,42.0,42.0,42.0,100000
APP1,1,36,40.58,42.0,42.0,42.0,100000
APP1,1,37,40.466,42.0,42.0,42.0,100000
APP1,1,38,40.525,42.0,42.0,42.0,100000
APP1,1,39,40.589,42.0,42.0,42.0,100000
APP1,1,40,40.527,42.0,42.0,42.0,100000
APP1,1,41,40.346,42.0,42.0,42.0,100000
APP1,1,42,40.48,42.0,42.0,42.0,100000
APP1,1,43,40.511,42.0,42.0,42.0,100000
APP1,1,44,40.48,42.0,42.0,42.0,100000
APP1,1,45,40.448,42.0,42.0,42.0,100000
APP1,1,46,40.392,42.0,42.0,42.0,100000
APP1,1,47,40.453,42.0,42.0,42.0,100000
APP1,1,48,40.389,42.0,42.0,42.0,100000
APP1,1,49,40.376,42.0,42.0,42.0,100000
APP1,1,50,40.316,42.0,42.0,42.0,100000
APP1,1,51,40.358,42.0,42.0,42.0,100000
APP1,1,52,40.354,42.0,42.0,42.0,100000
APP1,1,53,40.361,42.0,42.0,42.0,100000
APP1,1,54,40.385,42.0,42.0,42.0,100000
APP1,1,55,40.31,42.0,42.0,42.0,100000
APP1,1,56,40.374,42.0,42.0,42.0,100000
APP1,1,57,40.354,42.0,42.0,42.0,100000
APP1,1,58,40.251,42.0,42.0,42.0,100000
APP1,1,59,40.296,42.0,42.0,42.0,100000
APP1,1,60,40.247,42.0,42.0,42.0,100000
APP1,1,61,40.342,42.0,42.0,42.0,100000
APP1,1,62,40.324,42.0,42.0,42.0,100000
APP1,1,63,40.405,42.0,42.0,42.0,100000
APP1,1,64,40.342,42.0,42.0,42.0,100000
APP1,1,65,40.369,42.0,42.0,42.0,100000
APP1,1,66,40.349,42.0,42.0,42.0,100000
APP1,1,67,40.308,42.0,42.0,42.0,100000
APP1,1,68,40.202,42.0,42.0,42.0,100000
APP1,1,69,40.204,42.0,42.0,42.0,100000
APP1,1,70,40.18,42.0,42.0,42.0,100000
APP1,1,71,40.225,42.0,42.0,42.0,100000
APP1,1,72,40.233,42.0,42.0,42.0,100000
APP1,1,73,40.246,42.0,42.0,42.0,100000
APP1,1,74,40.198,42.0,42.0,42.0,100000
APP1,1,75,40.295,42.0,42.0,42.0,100000
APP1,1,76,39.535,37.0,42.0,42.0,100000
APP1,1,77,39.875,42.0,42.0,42.0,100000
APP1,1,78,40.058,42.0,42.0,42.0,100000
APP1,1,79,40.161,42.0,42.0,42.0,100000
APP1,1,80,40.176,42.0,42.0,42.0,100000
APP1,1,81,40.068,42.0,42.0,42.0,100000
APP1,1,82,40.095,42.0,42.0,42.0,100000
APP1,1,83,39.784,42.0,42.0,42.0,100000
APP1,1,84,40.002,42.0,42.0,42.0,100000
APP1,1,85,40.076,42.0,42.0,42.0,100000
APP1,1,86,40.185,42.0,42.0,42.0,100000
APP1,1,87,39.99,42.0,42.0,42.0,100000
APP1,1,88,40.082,42.0,42.0,42.0,100000
APP1,1,89,40.057,42.0,42.0,42.0,100000
APP1,1,90,40.016,42.0,42.0,42.0,100000
APP1,1,91,40.095,42.0,42.0,42.0,100000
APP1,1,92,39.962,42.0,42.0,42.0,100000
APP1,1,93,39.939,42.0,42.0,42.0,100000
APP1,1,94,39.965,42.0,42.0,42.0,100000
APP1,1,95,40.011,42.0,42.0,42.0,100000
APP1,1,96,40.044,42.0,42.0,42.0,100000
APP1,1,97,39.838,42.0,42.0,42.0,100000
APP1,1,98,39.746,42.0,42.0,42.0,100000
APP1,1,99,39.85,42.0,42.0,42.0,100000
APP1,1,100,39.746,42.0,42.0,42.0,100000
APP1,1,101,39.791,42.0,42.0,42.0,100000
APP1,1,102,39.73,42.0,42.0,42.0,100000
APP1,1,103,39.841,42.0,42.0,42.0,100000
APP1,1,104,39.816,42.0,42.0,42.0,100000
APP1,1,105,39.729,42.0,42.0,42.0,100000
APP1,1,106,39.762,42.0,42.0,42.0,100000
APP1,1,107,39.822,42.0,42.0,42.0,100000
APP1,1,108,39.743,42.0,42.0,42.0,100000
APP1,1,109,39.751,42.0,42.0,42.0,100000
APP1,1,110,39.788,42.0,42.0,42.0,100000
APP1,1,111,39.77,42.0,42.0,42.0,100000
APP1,1,112,39.68,42.0,42.0,42.0,100000
APP1,1,113,39.593,42.0,42.0,42.0,100000
APP1,1,114,39.623,42.0,42.0,42.0,100000
APP1,1,115,39.691,42.0,42.0,42.0,100000
APP1,1,116,39.692,42.0,42.0,42.0,100000
APP1,1,117,39.746,42.0,42.0,42.0,100000
APP1,1,118,39.59,42.0,42.0,42.0,100000
APP1,1,119,39.572,42.0,42.0,42.0,100000
APP1,1,120,39.595,42.0,42.0,42.0,100000
APP1,1,121,39.654,42.0,42.0,42.0,100000
APP1,1,122,39.583,42.0,42.0,42.0,100000
APP1,1,123,39.598,42.0,42.0,42.0,100000
APP1,1,124,39.372,42.0,42.0,42.0,100000
APP1,1,125,39.411,42.0,42.0,42.0,100000
APP1,1,126,39.374,42.0,42.0,42.0,100000
APP1,1,127,39.309,42.0,42.0,42.0,100000
APP1,1,128,39.31,42.0,42.0,42.0,100000
APP1,1,129,39.173,42.0,42.0,42.0,100000
APP1,1,130,39.298,42.0,42.0,42.0,100000
APP1,1,131,39.261,42.0,42.0,42.0,100000
APP1,1,132,39.329,42.0,42.0,42.0,100000
APP1,1,133,39.358,42.0,42.0,42.0,100000
APP1,1,134,39.286,42.0,42.0,42.0,100000
APP1,1,135,39.172,42.0,42.0,42.0,100000
APP1,1,136,39.22,42.0,42.0,42.0,100000
APP1,1,137,39.213,42.0,42.0,42.0,100000
APP1,1,138,38.972,37.0,42.0,42.0,100000
APP1,1,139,39.117,42.0,42.0,42.0,100000
APP1,1,140,38.932,37.0,42.0,42.0,100000
APP1,1,141,38.834,37.0,42.0,42.0,100000
APP1,1,142,38.849,37.0,42.0,42.0,100000
APP1,1,143,38.809,37.0,42.0,42.0,100000
APP1,1,144,38.802,37.0,42.0,42.0,100000
APP1,1,145,38.694,37.0,42.0,42.0,100000
APP1,1,146,38.563,37.0,42.0,42.0,100000
APP1,1,147,38.559,37.0,42.0,42.0,100000
APP1,1,148,38.312,37.0,42.0,42.0,100000
APP1,1,149,38.164,37.0,42.0,42.0,100000
APP1,1,150,38.251,37.0,42.0,42.0,100000
APP1,2,1,30.672,32.0,32.0,32.0,100000
APP1,2,2,31.197,32.0,32.0,32.0,100000
APP1,2,3,35.215,37.0,37.0,37.0,100000
APP1,2,4,35.694,37.0,37.0,37.0,100000
APP1,2,5,35.853,37.0,37.0,37.0,100000
APP1,2,6,39.493,37.0,42.0,42.0,100000
APP1,2,7,39.925,42.0,42.0,42.0,100000
APP1,2,8,40.079,42.0,42.0,42.0,100000
APP1,2,9,40.106,42.0,42.0,42.0,100000
APP1,2,10,40.073,42.0,42.0,42.0,100000
APP1,2,11,40.111,42.0,42.0,42.0,100000
APP1,2,12,40.212,42.0,42.0,42.0,100000
APP1,2,13,40.155,42.0,42.0,42.0,100000
APP1,2,14,40.084,42.0,42.0,42.0,100000
APP1,2,15,40.145,42.0,42.0,42.0,100000
APP1,2,16,40.105,42.0,42.0,42.0,100000
APP1,2,17,40.04,42.0,42.0,42.0,100000
APP1,2,18,40.006,42.0,42.0,42.0,100000
APP1,2,19,40.019,42.0,42.0,42.0,100000
APP1,2,20,40.116,42.0,42.0,42.0,100000
APP1,2,21,40.028,42.0,42.0,42.0,100000
APP1,2,22,40.064,42.0,42.0,42.0,100000
APP1,2,23,39.975,42.0,42.0,42.0,100000
APP1,2,24,39.969,42.0,42.0,42.0,100000
APP1,2,25,40.034,42.0,42.0,42.0,100000
APP1,2,26,40.1,42.0,42.0,42.0,100000
APP1,2,27,40.084,42.0,42.0,42.0,100000
APP1,2,28,39.862,42.0,42.0,42.0,100000
APP1,2,29,40.011,42.0,42.0,42.0,100000
APP1,2,30,39.931,42.0,42.0,42.0,100000
APP1,2,31,39.909,42.0,42.0,42.0,100000
APP1,2,32,39.947,42.0,42.0,42.0,100000
APP1,2,33,39.931,42.0,42.0,42.0,100000
APP1,2,34,39.933,42.0,42.0,42.0,100000
APP1,2,35,39.978,42.0,42.0,42.0,100000
APP1,2,36,39.947,42.0,42.0,42.0,100000
APP1,2,37,39.835,42.0,42.0,42.0,100000
APP1,2,38,39.838,42.0,42.0,42.0,100000
APP1,2,39,39.808,42.0,42.0,42.0,100000
APP1,2,40,39.82,42.0,42.0,42.0,100000
APP1,2,41,39.766,42.0,42.0,42.0,100000
APP1,2,42,39.813,42.0,42.0,42.0,100000
APP1,2,43,39.809,42.0,42.0,42.0,100000
APP1,2,44,39.681,42.0,42.0,42.0,100000
APP1,2,45,39.689,42.0,42.0,42.0,100000
APP1,2,46,39.721,42.0,42.0,42.0,100000
APP1,2,47,39.702,42.0,42.0,42.0,100000
APP1,2,48,39.64,42.0,42.0,42.0,100000
APP1,2,49,39.615,42.0,42.0,42.0,100000
APP1,2,50,39.716,42.0,42.0,42.0,100000
APP1,2,51,39.715,42.0,42.0,42.0,100000
APP1,2,52,39.65,42.0,42.0,42.0,100000
APP1,2,53,39.447,42.0,42.0,42.0,100000
APP1,2,54,39.399,42.0,42.0,42.0,100000
APP1,2,55,39.438,42.0,42.0,42.0,100000
APP1,2,56,39.462,42.0,42.0,42.0,100000
