sample,mate,trimLeft,truncLen,maxEE,final_read_len,reads_in,reads_out,pct_kept
APP1,1,0,100,1.0,100,100000,96118,96.12
APP1,1,0,100,2.0,100,100000,98753,98.75
APP1,1,0,100,5.0,100,100000,99914,99.91
APP1,1,0,125,1.0,125,100000,93930,93.93
APP1,1,0,125,2.0,125,100000,97560,97.56
APP1,1,0,125,5.0,125,100000,99648,99.65
APP1,1,0,150,1.0,150,100000,91383,91.38
APP1,1,0,150,2.0,150,100000,96045,96.04
APP1,1,0,150,5.0,150,100000,99255,99.26
APP1,1,10,100,1.0,90,100000,96322,96.32
APP1,1,10,100,2.0,90,100000,98813,98.81
APP1,1,10,100,5.0,90,100000,99919,99.92
APP1,1,10,125,1.0,115,100000,94159,94.16
APP1,1,10,125,2.0,115,100000,97669,97.67
APP1,1,10,125,5.0,115,100000,99657,99.66
APP1,1,10,150,1.0,140,100000,91606,91.61
APP1,1,10,150,2.0,140,100000,96148,96.15
APP1,1,10,150,5.0,140,100000,99267,99.27
APP1,2,0,100,1.0,100,100000,90603,90.6
APP1,2,0,100,2.0,100,100000,95333,95.33
APP1,2,0,100,5.0,100,100000,99399,99.4
APP1,2,0,125,1.0,125,100000,86937,86.94
APP1,2,0,125,2.0,125,100000,92846,92.85
APP1,2,0,125,5.0,125,100000,98502,98.5
APP1,2,0,150,1.0,150,100000,81891,81.89
APP1,2,0,150,2.0,150,100000,89412,89.41
APP1,2,0,150,5.0,150,100000,97008,97.01
APP1,2,10,100,1.0,90,100000,91169,91.17
APP1,2,10,100,2.0,90,100000,95715,95.72
APP1,2,10,100,5.0,90,100000,99502,99.5
APP1,2,10,125,1.0,115,100000,87410,87.41
APP1,2,10,125,2.0,115,100000,93168,93.17
APP1,2,10,125,5.0,115,100000,98666,98.67
APP1,2,10,150,1.0,140,100000,82314,82.31
APP1,2,10,150,2.0,140,100000,89710,89.71
APP1,2,10,150,5.0,140,100000,97183,97.18
APP2,1,0,100,1.0,100,100000,96157,96.16
APP2,1,0,100,2.0,100,100000,98780,98.78
APP2,1,0,100,5.0,100,100000,99915,99.92
APP2,1,0,125,1.0,125,100000,93730,93.73
APP2,1,0,125,2.0,125,100000,97661,97.66
APP2,1,0,125,5.0,125,100000,99662,99.66
APP2,1,0,150,1.0,150,100000,91162,91.16
APP2,1,0,150,2.0,150,100000,96140,96.14
APP2,1,0,150,5.0,150,100000,99269,99.27
APP2,1,10,100,1.0,90,100000,96373,96.37
APP2,1,10,100,2.0,90,100000,98857,98.86
APP2,1,10,100,5.0,90,100000,99918,99.92
APP2,1,10,125,1.0,115,100000,93964,93.96
APP2,1,10,125,2.0,115,100000,97758,97.76
APP2,1,10,125,5.0,115,100000,99670,99.67
APP2,1,10,150,1.0,140,100000,91386,91.39
APP2,1,10,150,2.0,140,100000,96275,96.28
APP2,1,10,150,5.0,140,100000,99277,99.28
APP2,2,0,100,1.0,100,100000,90116,90.12
APP2,2,0,100,2.0,100,100000,95090,95.09
APP2,2,0,100,5.0,100,100000,99396,99.4
APP2,2,0,125,1.0,125,100000,86457,86.46
APP2,2,0,125,2.0,125,100000,92463,92.46
APP2,2,0,125,5.0,125,100000,98389,98.39
APP2,2,0,150,1.0,150,100000,81447,81.45
APP2,2,0,150,2.0,150,100000,88914,88.91
APP2,2,0,150,5.0,150,100000,96864,96.86
APP2,2,10,100,1.0,90,100000,90705,90.7
APP2,2,10,100,2.0,90,100000,95522,95.52
APP2,2,10,100,5.0,90,100000,99510,99.51
APP2,2,10,125,1.0,115,100000,86978,86.98
APP2,2,10,125,2.0,115,100000,92843,92.84
APP2,2,10,125,5.0,115,100000,98568,98.57
APP2,2,10,150,1.0,140,100000,81910,81.91
APP2,2,10,150,2.0,140,100000,89303,89.3
APP2,2,10,150,5.0,140,100000,97082,97.08
APP3,1,0,100,1.0,100,100000,96008,96.01
APP3,1,0,100,2.0,100,100000,98658,98.66
APP3,1,0,100,5.0,100,100000,99896,99.9
APP3,1,0,125,1.0,125,100000,93740,93.74
APP3,1,0,125,2.0,125,100000,97463,97.46
APP3,1,0,125,5.0,125,100000,99572,99.57
APP3,1,0,150,1.0,150,100000,91079,91.08
APP3,1,0,150,2.0,150,100000,95909,95.91
APP3,1,0,150,5.0,150,100000,99159,99.16
APP3,1,10,100,1.0,90,100000,96229,96.23
APP3,1,10,100,2.0,90,100000,98714,98.71
APP3,1,10,100,5.0,90,100000,99900,99.9
APP3,1,10,125,1.0,115,100000,93947,93.95
