gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|00002,4.113,4.661,4.614,6.15,6.018,6.073,6.384,6.498,6.758,4.435,5.134,6.257
1104|00003,6.591,6.505,6.579,6.196,6.069,5.995,5.764,5.798,5.891,6.885,6.487,6.784
1104|00004,2.848,2.028,2.331,5.351,4.939,4.932,5.798,5.826,6.697,3.577,5.134,4.495
1104|00005,6.461,6.705,6.729,7.381,7.489,7.212,7.708,7.47,7.185,7.46,7.713,7.723
1104|00006,7.502,7.711,7.292,8.307,8.252,8.216,8.772,8.532,9.128,7.61,8.026,7.298
1104|00007,7.806,7.73,7.676,7.628,7.791,7.773,8.025,7.907,7.796,7.46,7.554,6.784
1104|00008,6.303,6.334,6.21,4.83,4.701,4.553,5.117,4.952,5.776,4.435,3.253,5.172
1104|00009,5.754,6.234,5.908,7.209,7.093,7.34,6.698,6.789,7.093,5.662,5.921,5.419
1104|00010,4.977,4.772,5.054,6.309,6.242,6.039,6.653,6.297,6.947,5.356,6.232,6.491
1104|00011,8.349,8.023,8.234,9.055,9.032,8.964,8.445,8.191,8.719,8.236,8.105,7.416
1104|00012,10.224,10.219,10.217,10.281,10.436,10.348,10.279,10.074,9.853,10.339,10.184,9.822
1104|00013,4.48,4.875,4.469,7.053,6.758,6.791,6.767,6.415,6.893,5.356,5.921,5.814
1104|00014,6.863,6.786,6.821,7.884,8.022,7.959,7.18,7.321,7.135,7.379,7.878,7.896
1104|00015,6.176,5.949,5.713,5.414,4.939,5.106,6.741,6.317,7.542,6.128,5.736,5.814
1104|00016,6.579,6.483,6.266,6.35,6.617,6.624,6.767,6.941,6.798,6.128,6.365,5.172
1104|00017,7.934,8.118,7.853,3.26,2.776,3.39,4.5,4.63,4.959,9.734,8.999,8.968
1104|00018,6.711,6.732,6.744,6.913,6.711,6.553,7.57,7.155,7.626,6.885,6.936,6.95
1104|00019,4.938,3.983,4.681,6.309,5.882,6.216,7.006,6.721,7.39,4.435,4.798,4.495
1104|00020,5.798,4.94,5.33,6.966,7.056,6.899,7.56,7.254,7.701,5.913,6.487,6.869
1104|00021,6.501,6.483,6.152,6.732,6.779,6.755,7.006,6.901,7.124,6.885,7.059,6.595
1104|00022,8.144,8.093,8.212,8.073,8.119,7.87,8.65,8.399,8.966,7.61,7.376,7.812
1104|00023,8.173,8.216,8.294,9.601,9.566,9.396,10.169,9.741,10.525,7.61,8.179,8.255
1104|00024,5.922,6.168,6.198,7.107,6.758,6.87,6.84,6.48,7.511,6.128,6.487,6.595
1104|00025,3.285,3.275,3.01,4.548,4.248,4.289,4.282,4.457,4.206,0.269,4.077,3.981
1104|00026,3.618,3.854,4.174,5.962,6.126,5.786,6.197,5.723,6.02,5.356,5.832,5.419
1104|00027,7.177,7.453,7.116,8.109,8.017,8.047,8.445,8.229,9.038,7.379,7.098,6.784
1104|00028,5.861,5.851,5.697,7.687,7.625,7.612,9.073,8.83,9.653,6.314,6.16,5.63
1104|00029,3.405,3.983,3.741,5.72,5.754,5.624,7.284,7.172,7.991,5.913,4.596,3.981
1104|00030,9.21,9.207,9.279,6.205,6.355,6.467,5.798,5.882,5.974,5.662,6.704,6.491
1104|00031,6.664,6.786,6.44,7.771,7.382,7.523,7.982,7.907,8.57,7.201,6.544,6.595
1104|00032,10.387,10.389,10.147,6.719,7.03,6.95,6.644,6.386,6.632,7.46,7.878,7.099
1104|00033,5.589,5.422,5.371,5.695,5.854,5.713,5.243,5.561,5.114,6.627,6.085,6.257
1104|00034,6.159,6.168,6.067,6.113,6.11,6.246,6.011,5.975,6.159,6.479,6.16,5.172
1104|00036,5.222,4.699,5.431,6.675,6.763,6.635,7.699,7.758,7.195,7.46,7.554,6.595
1104|00037,3.154,3.784,3.676,1.49,1.635,1.64,2.212,2.109,2.507,3.577,2.535,0.269
1104|00038,0.269,0.269,0.269,1.95,2.27,3.017,3.778,3.63,4.524,0.269,2.535,3.167
1104|00039,1.879,1.325,1.915,4.302,4.092,4.07,4.978,5.17,5.328,3.577,3.253,4.873
1104|00040,1.436,2.265,2.141,7.821,7.064,6.885,7.429,7.177,7.491,3.577,3.253,5.419
1104|00041,4.308,4.102,3.803,6.793,6.492,6.811,5.424,5.491,6.075,5.913,5.276,5.63
1104|00042,0.269,0.269,0.269,6.913,6.628,6.361,0.269,0.269,0.269,8.921,8.267,9.357
1104|00043,0.269,0.269,0.269,5.399,4.415,5.106,6.588,6.307,7.39,6.128,3.724,3.981
1104|00044,3.01,3.374,2.645,7.177,7.327,7.134,4.459,5.398,5.071,6.627,6.232,7.168
1104|00045,0.269,0.269,1.636,4.004,4.306,4.289,4.328,4.694,5.135,3.577,5.276,4.495
1104|00046,0.269,0.269,0.269,2.76,2.14,2.605,3.709,3.492,3.687,0.269,3.724,0.269
1104|00047,0.269,0.269,0.269,1.744,1.077,1.64,0.269,1.611,1.811,5.356,2.535,3.981
1104|00048,1.879,2.265,1.636,5.197,4.784,5.505,6.172,6.11,7.558,0.269,4.36,3.167
1104|00050,1.436,0.269,0.269,1.49,1.397,0.269,0.269,1.611,1.811,0.269,2.535,3.167
1104|00051,0.269,0.269,0.269,1.95,1.397,1.08,1.294,2.859,3.137,3.577,0.269,3.167
1104|00052,0.269,0.269,0.269,2.857,2.14,3.277,3.843,4.457,4.887,0.269,2.535,3.167
1104|00053,2.198,2.465,1.636,3.919,3.88,4.07,3.101,3.166,2.751,0.269,3.253,0.269
1104|00054,0.269,0.269,0.269,3.573,2.596,2.396,2.988,2.859,3.687,3.577,3.724,0.269
1104|00055,5.285,5.201,4.836,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269
1104|00056,0.269,0.269,0.269,1.145,0.269,1.402,3.479,3.166,3.505,0.269,0.269,0.269
