gene,annotation
1104|00001,"hypothetical protein CGGC5_5996, partial"
1104|00002,phosphotyrosyl phosphate activator protein
1104|00003,rna polymerase ii transcription factor siii subunit a
1104|00004,hypothetical protein CGGC5_4041
1104|00005,gcn5-related n-acetyltransferase
1104|00006,cbf mak21 family protein
1104|00007,ubiquitin family protein
1104|00008,dynamin central region
1104|00009,hypothetical protein CGGC5_5673
1104|00010,homeobox domain-containing protein
1104|00011,26s proteasome non-atpase regulatory subunit 9
1104|00012,adenylylsulfate kinase
1104|00013,gtp-binding nuclear protein gsp1 ran
1104|00014,thioesterase superfamily protein
1104|00015,atp-nad kinase
1104|00016,hypothetical protein CGGC5_5679
1104|00017,dna mismatch repair protein
1104|00018,lim domain-containing protein
1104|00019,trehalase
1104|00020,transcription initiation factor iif
1104|00021,upf0655 protein ycr015c
1104|00022,prolyl-trna synthetase
1104|00023,nuclear pore complex protein nup107
1104|00024,spfh domain band 7 family protein
1104|00025,2-oxoacid dehydrogenase acyltransferase
1104|00026,beta-eliminating lyase
1104|00027,pwi domain-containing protein
1104|00028,exosome complex subunit rrp46
1104|00029,killer toxin subunits alpha beta
1104|00030,v-atpase subunit c
1104|00031,byr1-binding protein bob1
1104|00032,hypothetical protein CGGC5_4040
1104|00033,cytochrome c oxidase assembly protein cox19
1104|00034,basic proline-rich protein
1104|00035,ubiquitin family protein
1104|00036,f-box domain-containing protein
1104|00037,f-box domain containing protein
1104|00038,hypothetical protein CGLO_00655
1104|00039,amidase
1104|00040,thyroid receptor-interacting protein 13
1104|00041,upf0187 domain membrane protein
1104|00042,hypothetical protein CGLO_09514
1104|00043,hypothetical protein CH063_08742
1104|00044,acyltransferase
1104|00045,hypothetical protein CGLO_17677
1104|00046,hydantoinase protein
1104|00047,dihydrodipicolinate synthase
1104|00048,d-isomer specific 2-hydroxyacid dehydrogenase
1104|00049,hypothetical protein CGLO_18078
1104|00050,hypothetical protein CGGC5_6118
1104|00051,c6 transcription factor
1104|00052,catalase related subgroup
1104|00053,glycosyl hydrolase family 92
1104|00054,nad dependent epimerase dehydratase
1104|00055,short chain oxidoreductase
1104|00056,sulfate permease
