target_id,length,eff_length,est_counts,tpm
1104|00002,1278,1038.51,163.0,13.1585
1104|00003,1242,1002.51,93.0,7.7772
1104|00004,585,345.67,101.0,24.4956
1104|00005,3057,2817.51,331.0,9.849
1104|00006,303,79.43,668.0,705.066
1104|00007,2439,2199.51,438.0,16.6946
1104|00008,1038,798.51,53.0,5.5645
1104|00009,1779,1539.51,203.0,11.0546
1104|00010,690,450.58,133.0,24.7464
1104|00011,633,393.6,533.0,113.528
1104|00012,654,414.6,1939.0,392.085
1104|00013,510,270.85,156.0,48.2872
1104|00014,1917,1677.51,295.0,14.743
1104|00015,507,267.88,140.0,43.8134
1104|00016,2418,2178.51,231.0,8.8896
1104|00017,2061,1821.51,39.0,1.795
1104|00018,1104,864.51,252.0,24.4377
1104|00019,960,720.51,192.0,22.3404
1104|00020,1899,1659.51,277.0,13.9936
1104|00021,2631,2391.51,210.0,7.3617
1104|00022,936,696.51,612.0,73.6639
1104|00023,1338,1098.51,1593.0,121.574
1104|00024,1134,894.51,163.0,15.2768
1104|00025,423,185.06,32.0,14.4963
1104|00026,735,495.51,101.0,17.0884
1104|00027,1182,942.51,563.0,50.0786
1104|00028,453,214.45,828.0,323.69
1104|00029,354,120.44,261.0,181.67
1104|00030,984,744.51,103.0,11.5984
1104|00031,249,45.97,420.0,765.968
1104|00032,900,660.51,144.0,18.2774
1104|00033,4194,3954.51,87.0,1.8444
1104|00034,2832,2592.51,109.0,3.5248
1104|00036,1611,1371.51,401.0,24.5118
1104|00037,3048,2808.51,4.0,0.1194
1104|00038,987,747.51,17.0,1.9066
1104|00039,684,444.58,66.0,12.4459
1104|00040,492,252.91,230.0,76.2409
1104|00041,1173,933.51,79.0,7.0948
1104|00042,2574,2334.51,0.0,0.0
1104|00043,960,720.51,142.0,16.5226
1104|00044,2382,2142.51,76.0,2.9738
1104|00045,2118,1878.51,46.0,2.0529
1104|00046,1638,1398.51,17.0,1.0191
1104|00048,1431,1191.51,124.0,8.7248
1104|00052,753,513.51,32.0,5.2244
1104|00053,1692,1452.51,13.0,0.7503
1104|00054,1524,1284.51,10.0,0.6527
1104|00055,2439,2199.51,0.0,0.0
1104|00057,1050,810.51,1.0,0.1034
1104|00058,2616,2376.51,22.0,0.7761
1104|00060,1392,1152.51,1.0,0.0727
1104|00061,1449,1209.51,21.0,1.4556
1104|00062,915,675.51,35.0,4.3438
1104|00063,870,630.51,47.0,6.2494
1104|00064,543,303.73,9.0,2.4842
1104|00066,2082,1842.51,127.0,5.7786
1104|00067,867,627.51,67.0,8.9513
1104|00068,1512,1272.51,9.0,0.5929
