target_id,length,eff_length,est_counts,tpm
1104|00002,1278,1021.52,17.0,1.7491
1104|00003,1242,985.52,109.0,11.6244
1104|00004,585,328.76,6.0,1.9181
1104|00005,3057,2800.52,104.0,3.9031
1104|00006,303,64.2,219.0,358.546
1104|00007,2439,2182.52,265.0,12.7614
1104|00008,1038,781.52,90.0,12.1036
1104|00009,1779,1522.52,60.0,4.1419
1104|00010,690,433.57,35.0,8.4843
1104|00011,633,376.69,397.0,110.767
1104|00012,654,397.66,1403.0,370.819
1104|00013,510,253.94,26.0,10.7608
1104|00014,1917,1660.52,140.0,8.8612
1104|00015,507,250.94,84.0,35.1812
1104|00016,2418,2161.52,123.0,5.9808
1104|00017,2061,1804.52,293.0,17.0654
1104|00018,1104,847.52,119.0,14.7574
1104|00019,960,703.52,35.0,5.2288
1104|00020,1899,1642.52,65.0,4.1592
1104|00021,2631,2374.52,106.0,4.6918
1104|00022,936,679.52,340.0,52.5882
1104|00023,1338,1081.52,351.0,34.1102
1104|00024,1134,877.52,72.0,8.6236
1104|00025,423,168.04,7.0,4.3783
1104|00026,735,478.57,12.0,2.6354
1104|00027,1182,925.52,174.0,19.7594
1104|00028,453,197.57,65.0,34.5774
1104|00029,354,103.6,10.0,10.1446
1104|00030,984,727.52,707.0,102.138
1104|00031,249,37.52,114.0,319.324
1104|00032,900,643.52,1604.0,261.972
1104|00033,4194,3937.52,57.0,1.5215
1104|00034,2832,2575.52,83.0,3.3871
1104|00036,1611,1354.52,40.0,3.1037
1104|00037,3048,2791.52,8.0,0.3012
1104|00038,987,730.52,0.0,0.0
1104|00039,684,427.57,2.0,0.4916
1104|00040,492,236.04,2.0,0.8905
1104|00041,1173,916.52,21.0,2.4082
1104|00042,2574,2317.52,0.0,0.0
1104|00043,960,703.52,0.0,0.0
1104|00044,2382,2125.52,7.0,0.3461
1104|00045,2118,1861.52,0.0,0.0
1104|00046,1638,1381.52,0.0,0.0
1104|00048,1431,1174.52,2.0,0.179
1104|00052,753,496.57,0.0,0.0
1104|00053,1692,1435.52,3.0,0.2196
1104|00054,1524,1267.52,0.0,0.0
1104|00055,2439,2182.52,45.0,2.167
1104|00057,1050,793.52,10.0,1.3245
1104|00058,2616,2359.52,19.0,0.8463
1104|00060,1392,1135.52,3.0,0.2777
1104|00061,1449,1192.52,1.0,0.0881
1104|00062,915,658.52,0.0,0.0
1104|00063,870,613.55,1686.0,288.814
1104|00064,543,286.81,34.0,12.4593
1104|00066,2082,1825.52,18.0,1.0363
1104|00067,867,610.55,11.0,1.8936
1104|00068,1512,1255.52,7.0,0.586
1104|00071,2475,2218.52,42.0,1.9897
1104|00072,2034,1777.52,161.0,9.5197
1104|00075,999,742.52,0.0,0.0
1104|00076,1575,1318.52,9.0,0.7174
1104|00077,2349,2092.52,16.0,0.8036
1104|00078,1149,892.52,2.0,0.2355
1104|00079,390,136.66,5.0,3.8454
1104|00081,489,233.04,53.0,23.903
1104|00087,918,661.52,15.0,2.3832
1104|00088,480,224.12,0.0,0.0
1104|00090,846,589.55,49.0,8.7355
1104|00091,1494,1237.52,0.0,0.0
1104|00092,288,54.88,0.0,0.0
1104|00093,969,712.52,231.0,34.0743
1104|00095,2169,1912.52,4.0,0.2198
1104|00097,1041,784.52,42.0,5.6267
1104|00098,1191,934.52,17.0,1.9119
1104|00101,1539,1282.52,51.0,4.1794
1104|00102,3465,3208.52,0.0,0.0
1104|00103,369,116.9,6.0,5.3942
1104|00104,5313,5056.52,182.0,3.7829
1104|00106,2169,1912.52,39.0,2.1432
1104|00107,2514,2257.52,79.0,3.678
1104|00108,1452,1195.52,238.0,20.9233
1104|00109,1179,922.52,66.0,7.5193
1104|00110,945,688.52,132.0,20.1497
1104|00111,3996,3739.52,330.0,9.2749
1104|00112,1017,760.52,64.0,8.8446
1104|00113,900,643.52,44.0,7.1862
1104|00114,1281,1024.52,21.0,2.1543
1104|00115,486,230.08,191.0,87.2512
1104|00116,1203,946.52,142.0,15.7678
1104|00117,1326,1069.52,220.0,21.6195
1104|00118,621,364.69,213.0,61.3848
1104|00119,339,90.79,59.0,68.2974
1104|00120,5967,5710.52,68.0,1.2515
1104|00121,1890,1633.52,1030.0,66.271
1104|00122,1122,865.52,33.0,4.0073
1104|00123,1416,1159.52,531.0,48.1313
1104|00124,978,721.52,170.0,24.7635
1104|00125,2760,2503.52,323.0,13.5601
1104|00126,4749,4492.52,509.0,11.908
1104|00127,522,265.89,59.0,23.3213
1104|00128,771,514.55,963.0,196.703
1104|00129,1209,952.52,2334.0,257.536
1104|00130,561,304.8,17.0,5.8621
1104|00131,750,493.57,216.0,45.9951
1104|00132,1545,1288.52,691.0,56.3635
1104|00133,156,44.96,94.0,219.729
1104|00134,1659,1402.52,57.0,4.2715
1104|00135,990,733.52,3.0,0.4299
1104|00137,555,298.8,28.0,9.849
1104|00138,513,256.91,67.0,27.41
1104|00139,837,580.55,161.0,29.1472
1104|00140,4038,3781.52,26.0,0.7226
1104|00141,867,610.55,28.0,4.82
1104|00142,2442,2185.52,460.0,22.1214
1104|00143,1347,1090.52,52.0,5.0117
