target_id,length,eff_length,est_counts,tpm
1104|00002,1278,1013.06,167.0,14.9671
1104|00003,1242,977.06,156.0,14.4963
1104|00004,585,320.26,72.0,20.4119
1104|00005,3057,2792.06,383.0,12.4546
1104|00006,303,63.15,757.0,1088.36
1104|00007,2439,2174.06,550.0,22.9692
1104|00008,1038,773.06,54.0,6.3421
1104|00009,1779,1514.06,413.0,24.7664
1104|00010,690,425.16,159.0,33.9551
1104|00011,633,368.18,1268.0,312.695
1104|00012,654,389.16,3233.0,754.289
1104|00013,510,245.64,278.0,102.755
1104|00014,1917,1652.06,633.0,34.7883
1104|00015,507,242.66,78.0,29.1839
1104|00016,2418,2153.06,250.0,10.5424
1104|00017,2061,1796.06,21.0,1.0616
1104|00018,1104,839.06,247.0,26.7275
1104|00019,960,695.06,189.0,24.6885
1104|00020,1899,1634.06,302.0,16.7801
1104|00021,2631,2366.06,258.0,9.9003
1104|00022,936,671.06,610.0,82.5322
1104|00023,1338,1073.06,1768.0,149.594
1104|00024,1134,869.06,288.0,30.0883
1104|00025,423,160.54,45.0,25.4491
1104|00026,735,470.09,138.0,26.6535
1104|00027,1182,917.06,677.0,67.0264
1104|00028,453,189.43,499.0,239.166
1104|00029,354,99.47,123.0,112.268
1104|00030,984,719.06,221.0,27.905
1104|00031,249,35.89,454.0,1148.64
1104|00032,900,635.06,313.0,44.7491
1104|00033,4194,3929.06,132.0,3.0503
1104|00034,2832,2567.06,192.0,6.7908
1104|00036,1611,1346.06,250.0,16.8628
1104|00037,3048,2783.06,4.0,0.1305
1104|00038,987,722.06,14.0,1.7604
1104|00039,684,419.16,38.0,8.2312
1104|00040,492,227.83,252.0,100.427
1104|00041,1173,908.06,276.0,27.5962
1104|00042,2574,2309.06,207.0,8.1394
1104|00043,960,695.06,84.0,10.9727
1104|00044,2382,2117.06,364.0,15.6107
1104|00045,2118,1853.06,45.0,2.2048
1104|00046,1638,1373.06,9.0,0.5951
1104|00048,1431,1166.06,113.0,8.7986
1104|00052,753,488.09,18.0,3.3483
1104|00053,1692,1427.06,35.0,2.2268
1104|00054,1524,1259.06,9.0,0.649
1104|00055,2439,2174.06,0.0,0.0
1104|00057,1050,785.06,81.0,9.3678
1104|00058,2616,2351.06,20.0,0.7724
1104|00060,1392,1127.06,20.0,1.6112
1104|00061,1449,1184.06,0.0,0.0
1104|00062,915,650.06,1.0,0.1397
1104|00063,870,605.06,108.0,16.2062
1104|00064,543,278.48,1.0,0.326
1104|00066,2082,1817.06,50.0,2.4984
1104|00067,867,602.06,52.0,7.8418
1104|00068,1512,1247.06,4.0,0.2912
1104|00071,2475,2210.06,134.0,5.505
1104|00072,2034,1769.06,184.0,9.4434
1104|00075,999,734.06,0.0,0.0
1104|00076,1575,1310.06,1.0,0.0693
1104|00077,2349,2084.06,38.0,1.6555
1104|00078,1149,884.06,3.0,0.3081
1104|00079,390,130.19,14.0,9.7637
1104|00081,489,224.87,1.0,0.4038
1104|00087,918,653.06,7.0,0.9732
1104|00088,480,215.95,0.0,0.0
1104|00090,846,581.09,233.0,36.4056
1104|00091,1494,1229.06,4.0,0.2955
1104|00092,288,54.1,36.0,60.4213
1104|00093,969,704.06,416.0,53.6462
1104|00095,2169,1904.06,24.0,1.1444
1104|00097,1041,776.06,11.0,1.2869
1104|00098,1191,926.06,14.0,1.3726
1104|00101,1539,1274.06,136.0,9.6918
1104|00102,3465,3200.06,1.0,0.0284
1104|00103,369,111.88,6.0,4.8694
1104|00104,5313,5048.06,487.0,8.7591
1104|00106,2169,1904.06,14.0,0.6676
1104|00107,2514,2249.06,211.0,8.518
1104|00108,1452,1187.06,221.0,16.9034
1104|00109,1179,914.06,582.0,57.8101
1104|00110,945,680.06,220.0,29.3718
1104|00111,3996,3731.06,531.0,12.9216
1104|00112,1017,752.06,521.0,62.8985
1104|00113,900,635.06,470.0,67.1952
1104|00114,1281,1016.06,215.0,19.2121
1104|00115,486,221.9,1406.0,575.297
1104|00116,1203,938.06,260.0,25.1651
